
 PoreSC 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        713 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
       341          0    0    1              0.513        0.426        0.000
       342          0    0    1              0.555        0.481        0.000
       343          0    0    1              0.607        0.547        0.000
       344          0    0    1              0.667        0.626        0.000
       345          0    0    1              0.740        0.719        0.000
       346          0    0    1              0.493        0.158        0.000
       347          0    0    1              0.506        0.174        0.000
       348          0    0    1              0.498        0.201        0.000
       349          0    0    1              0.516        0.188        0.000
       350          0    0    1              0.512        0.224        0.000
       351          0    0    1              0.515        0.284        0.000
       352          0    0    1              0.515        0.252        0.000
       353          0    0    1              0.516        0.351        0.000
       354          0    0    1              0.544        0.326        0.000
       355          0    0    1              0.554        0.290        0.000
       356          0    0    1              0.501        0.131        0.000
       357          0    0    1              0.516        0.147        0.000
       358          0    0    1              0.509        0.079        0.000
       359          0    0    1              0.524        0.091        0.000
       360          0    0    1              0.523        0.119        0.000
       361          0    0    1              0.542        0.104        0.000
       362          0    0    1              0.524        0.067        0.000
       363          0    0    1              0.536        0.057        0.000
       364          0    0    1              0.528        0.045        0.000
       365          0    0    1              0.516        0.029        0.000
       366          0    0    1              0.500        0.013        0.000
       367          0    0    1              0.722        0.776        0.000
       368          0    0    1              0.200        0.905        0.000
       369          0    0    1              0.333        0.931        0.000
       370          0    0    1              0.141        1.105        0.000
       371          1    0    1              0.000        1.318        0.000
       372          0    0    1              0.692        0.874        0.000
       373          0    0    1              0.487        0.883        0.000
       374          0    0    1              0.615        0.970        0.000
       375          0    0    1              0.517        0.388        0.000
       376          0    0    1              0.558        0.433        0.000
       377          0    0    1              0.609        0.488        0.000
       378          0    0    1              0.671        0.557        0.000
       379          0    0    1              0.739        0.642        0.000
       380          0    0    1              0.805        0.749        0.000
       381          0    0    1              0.511        0.161        0.000
       382          0    0    1              0.522        0.179        0.000
       383          0    0    1              0.523        0.203        0.000
       384          0    0    1              0.532        0.237        0.000
       385          0    0    1              0.534        0.269        0.000
       386          0    0    1              0.578        0.274        0.000
       387          0    0    1              0.551        0.354        0.000
       388          0    0    1              0.571        0.316        0.000
       389          0    0    1              0.520        0.133        0.000
       390          0    0    1              0.536        0.147        0.000
       391          0    0    1              0.524        0.079        0.000
       392          0    0    1              0.541        0.090        0.000
       393          0    0    1              0.543        0.119        0.000
       394          0    0    1              0.561        0.100        0.000
       395          0    0    1              0.539        0.065        0.000
       396          0    0    1              0.542        0.050        0.000
       397          0    0    1              0.533        0.032        0.000
       398          0    0    1              0.517        0.015        0.000
       399          0    1    1              0.500        0.000        0.000
       400          0    0    1              0.772        0.829        0.000
       401          0    0    1              0.419        0.953        0.000
       402          0    0    1              0.283        1.032        0.000
       403          0    0    1              0.173        1.325        0.000
       404          1    0    1              0.000        1.617        0.000
       405          1    0    1              0.000        4.000        0.000
       406          0    0    1              0.901        1.089        0.000
       407          0    0    1              0.718        1.014        0.000
       408          0    0    1              0.544        1.015        0.000
       409          0    0    1              0.980        0.881        0.000
       410          0    0    1              0.903        0.783        0.000
       411          0    0    1              0.556        0.390        0.000
       412          0    0    1              0.607        0.435        0.000
       413          0    0    1              0.670        0.491        0.000
       414          0    0    1              0.742        0.564        0.000
       415          0    0    1              0.815        0.656        0.000
       416          0    0    1              0.529        0.165        0.000
       417          0    0    1              0.541        0.186        0.000
       418          0    0    1              0.550        0.217        0.000
       419          0    0    1              0.555        0.253        0.000
       420          0    0    1              0.607        0.252        0.000
       421          0    0    1              0.603        0.300        0.000
       422          0    0    1              0.587        0.348        0.000
       423          0    0    1              0.541        0.133        0.000
       424          0    0    1              0.550        0.154        0.000
       425          0    0    1              0.541        0.077        0.000
       426          0    0    1              0.555        0.090        0.000
       427          0    0    1              0.567        0.116        0.000
       428          0    0    1              0.580        0.093        0.000
       429          0    0    1              0.554        0.059        0.000
       430          0    0    1              0.552        0.037        0.000
       431          0    0    1              0.536        0.017        0.000
       432          0    1    1              0.515        0.000        0.000
       433          0    0    1              0.881        0.936        0.000
       434          0    0    1              0.448        1.058        0.000
       435          0    0    1              0.341        1.285        0.000
       436          0    0    1              0.208        1.595        0.000
       437          0    0    1              0.400        4.000        0.000
       438          1    0    1              0.000        1.990        0.000
       439          1    0    1              0.000        3.598        0.000
       440          0    0    1              0.988        1.128        0.000
       441          0    0    1              0.811        1.158        0.000
       442          0    0    1              0.616        1.140        0.000
       443          0    0    1              1.045        0.923        0.000
       444          0    0    1              0.988        0.796        0.000
       445          0    0    1              0.904        0.674        0.000
       446          0    0    1              0.599        0.387        0.000
       447          0    0    1              0.662        0.431        0.000
       448          0    0    1              0.738        0.490        0.000
       449          0    0    1              0.821        0.571        0.000
       450          0    0    1              0.551        0.168        0.000
       451          0    0    1              0.567        0.195        0.000
       452          0    0    1              0.577        0.232        0.000
       453          0    0    1              0.632        0.225        0.000
       454          0    0    1              0.639        0.278        0.000
       455          0    0    1              0.626        0.334        0.000
       456          0    0    1              0.567        0.142        0.000
       457          0    0    1              0.562        0.076        0.000
       458          0    0    1              0.593        0.107        0.000
       459          0    0    1              0.594        0.079        0.000
       460          0    0    1              0.571        0.047        0.000
       461          0    0    1              0.560        0.020        0.000
       462          0    1    1              0.536        0.000        0.000
       463          0    0    1              1.018        1.004        0.000
       464          0    0    1              1.600        4.000        0.000
       465          0    0    1              0.493        1.225        0.000
       466          0    0    1              0.406        1.523        0.000
       467          0    0    1              0.800        4.000        0.000
       468          0    0    1              0.254        1.911        0.000
       469          0    0    1              0.407        3.549        0.000
       470          1    0    1              0.000        2.392        0.000
       471          1    0    1              0.000        3.196        0.000
       472          0    0    1              1.095        1.184        0.000
       473          0    0    1              0.937        1.279        0.000
       474          0    0    1              0.716        1.293        0.000
       475          0    0    1              1.140        0.946        0.000
       476          0    0    1              1.079        0.813        0.000
       477          0    0    1              1.002        0.691        0.000
       478          0    0    1              0.912        0.578        0.000
       479          0    0    1              0.647        0.378        0.000
       480          0    0    1              0.725        0.421        0.000
       481          0    0    1              0.818        0.487        0.000
       482          0    0    1              0.576        0.168        0.000
       483          0    0    1              0.599        0.207        0.000
       484          0    0    1              0.647        0.197        0.000
       485          0    0    1              0.671        0.245        0.000
       486          0    0    1              0.673        0.313        0.000
       487          0    0    1              0.609        0.132        0.000
       488          0    0    1              0.588        0.062        0.000
       489          0    0    1              0.616        0.086        0.000
       490          0    0    1              0.592        0.024        0.000
       491          0    1    1              0.563        0.000        0.000
       492          0    0    1              2.000        4.000        0.000
       493          0    0    1              1.115        1.059        0.000
       494          0    0    1              1.200        4.000        0.000
       495          0    0    1              1.684        3.530        0.000
       496          0    0    1              0.579        1.419        0.000
       497          0    0    1              0.494        1.792        0.000
       498          0    0    1              0.832        3.504        0.000
       499          0    0    1              0.310        2.269        0.000
       500          0    0    1              0.399        3.098        0.000
       501          1    0    1              0.000        2.794        0.000
       502          0    0    1              1.201        1.222        0.000
       503          0    0    1              1.074        1.348        0.000
       504          0    0    1              0.838        1.477        0.000
       505          0    0    1              1.236        0.989        0.000
       506          0    0    1              1.180        0.850        0.000
       507          0    0    1              1.109        0.715        0.000
       508          0    0    1              1.017        0.589        0.000
       509          0    0    1              0.911        0.483        0.000
       510          0    0    1              0.704        0.361        0.000
       511          0    0    1              0.802        0.404        0.000
       512          0    0    1              0.626        0.170        0.000
       513          0    0    1              0.691        0.198        0.000
       514          0    0    1              0.722        0.277        0.000
       515          0    0    1              0.651        0.109        0.000
       516          0    0    1              0.621        0.048        0.000
       517          0    1    1              0.600        0.000        0.000
       518          0    0    1              2.400        4.000        0.000
       519          0    0    1              2.078        3.575        0.000
       520          0    0    1              1.209        1.092        0.000
       521          0    0    1              1.271        1.201        0.000
       522          0    0    1              1.270        3.489        0.000
       523          0    0    1              1.803        3.089        0.000
       524          0    0    1              0.707        1.637        0.000
       525          0    0    1              0.623        2.111        0.000
       526          0    0    1              0.837        2.991        0.000
       527          0    0    1              0.364        2.665        0.000
       528          0    0    1              1.222        1.329        0.000
       529          0    0    1              1.064        1.623        0.000
       530          0    0    1              1.326        1.035        0.000
       531          0    0    1              1.283        0.897        0.000
       532          0    0    1              1.223        0.750        0.000
       533          0    0    1              1.135        0.608        0.000
       534          0    0    1              1.026        0.485        0.000
       535          0    0    1              0.902        0.387        0.000
       536          0    0    1              0.773        0.330        0.000
       537          0    0    1              0.684        0.153        0.000
       538          0    0    1              0.764        0.217        0.000
       539          0    0    1              0.691        0.066        0.000
       540          0    1    1              0.650        0.000        0.000
       541          0    0    1              2.800        4.000        0.000
       542          0    0    1              2.465        3.599        0.000
       543          0    0    1              2.161        3.174        0.000
       544          0    0    1              1.957        2.747        0.000
       545          0    0    1              1.296        1.132        0.000
       546          0    0    1              1.320        1.270        0.000
       547          0    0    1              1.375        2.879        0.000
       548          0    0    1              0.852        1.939        0.000
       549          0    0    1              0.762        2.504        0.000
       550          0    0    1              1.290        1.490        0.000
       551          0    0    1              1.265        1.807        0.000
       552          0    0    1              1.418        1.102        0.000
       553          0    0    1              1.379        0.952        0.000
       554          0    0    1              1.339        0.801        0.000
       555          0    0    1              1.267        0.640        0.000
       556          0    0    1              1.158        0.492        0.000
       557          0    0    1              1.019        0.375        0.000
       558          0    0    1              0.874        0.273        0.000
       559          0    0    1              0.764        0.115        0.000
       560          0    1    1              0.717        0.000        0.000
       561          0    0    1              4.000        4.000        0.000
       562          0    0    1              3.200        4.000        0.000
       563          0    0    1              2.854        3.610        0.000
       564          0    0    1              2.526        3.211        0.000
       565          0    0    1              2.239        2.822        0.000
       566          0    0    1              1.702        2.565        0.000
       567          0    0    1              2.069        2.540        0.000
       568          0    0    1              1.377        1.186        0.000
       569          0    0    1              1.487        1.149        0.000
       570          0    0    1              1.416        1.367        0.000
       571          0    0    1              1.242        2.206        0.000
       572          0    0    1              1.452        1.720        0.000
       573          0    0    1              1.471        1.028        0.000
       574          0    0    1              1.453        0.873        0.000
       575          0    0    1              1.406        0.692        0.000
       576          0    0    1              1.314        0.517        0.000
       577          0    0    1              1.159        0.362        0.000
       578          0    0    1              1.000        0.298        0.000
       579          0    0    1              0.919        0.141        0.000
       580          0    1    1              0.808        0.000        0.000
       581          0    0    1              4.400        4.000        0.000
       582          0    0    1              3.600        4.000        0.000
       583          0    0    1              4.038        3.616        0.000
       584          0    0    1              3.248        3.614        0.000
       585          0    0    1              2.904        3.224        0.000
       586          0    0    1              2.574        2.843        0.000
       587          0    0    1              1.617        2.304        0.000
       588          0    0    1              2.280        2.521        0.000
       589          0    0    1              1.971        2.359        0.000
       590          0    0    1              1.564        1.106        0.000
       591          0    0    1              1.483        1.247        0.000
       592          0    0    1              1.572        1.480        0.000
       593          0    0    1              1.623        1.936        0.000
       594          0    0    1              1.548        0.962        0.000
       595          0    0    1              1.542        0.771        0.000
       596          0    0    1              1.487        0.567        0.000
       597          0    0    1              1.343        0.369        0.000
       598          0    0    1              1.101        0.198        0.000
       599          0    1    1              0.930        0.000        0.000
       600          0    0    1              4.800        4.000        0.000
       601          0    0    1              4.432        3.615        0.000
       602          0    0    1              3.643        3.616        0.000
       603          0    0    1              4.076        3.233        0.000
       604          0    0    1              3.292        3.230        0.000
       605          0    0    1              2.943        2.844        0.000
       606          0    0    1              2.590        2.490        0.000
       607          0    0    1              1.602        1.046        0.000
       608          0    0    1              1.810        2.117        0.000
       609          0    0    1              2.241        2.227        0.000
